group,filing_status,journey,n
Other,Single,A > A > J > I > O > G,19
Other,Single,A > L > B,16
Other,Single,A > L > G > L > J > J > H,19
Other,Single,A > M > E > N > L,8
Other,Single,A > M > H > I > C > B > N,9
Other,Single,B > B > C > C > N > J > F > I,14
Other,Single,B > C > D > C,21
Other,Single,B > C > O > F > K > A > F,12
Other,Single,B > H > L > A > K > K > F,17
Other,Single,B > H > M > A > G > O > M > F > C,19
Other,Single,B > K > L > K > H,15
Other,Single,B > O > F > H > D > A > F,17
Other,Single,C > F > L > B > E > A > N > F > J,15
Other,Single,C > J > A > E > K > A > J,16
Other,Single,C > J > J > A > A > I > K,20
Other,Single,C > J > K > M > A > M > A,9
Other,Single,C > K > C > M > H,24
Other,Single,C > K > D > D > G,25
Other,Single,C > L > G > I > D > M > A > H,19
Other,Single,C > N > M,24
Other,Single,D > A > A > D > K > D,12
Other,Single,D > A > H > C > J > G > H > B > J > G,15
Other,Single,D > C > I > N > L > O > A,11
Other,Single,D > D > K > K > N > B > D,21
Other,Single,D > E > B > F > G > C > E,17
Other,Single,D > H > C > M > F,17
Other,Single,D > I > G > M > O > A > F > B,22
Other,Single,D > J > C,14
Other,Single,D > L > D > G > L,15
Other,Single,D > L > H > F > L > H > A > G > C,16
Other,Single,E > A > L,21
Other,Single,E > B > N,12
Other,Single,E > C > C > E > C > J,14
Other,Single,E > E > F > I > C > M > O,12
Other,Single,E > E > N,15
Other,Single,E > F > K > H > F > I > H > C,19
Other,Single,E > J > L > E > G > I > L > F,17
Other,Single,E > N > C > O > N > G > O > I > M,16
Other,Single,F > C > J > O > D > J > L > L > N > N,12
Other,Single,F > F > N > F > K > E > B,14
Other,Single,F > K > B > N,11
Other,Single,G > D > F > F > N > M,20
Other,Single,G > I > O > L > N > H > E,19
Other,Single,G > N > G > J > N > I,16
Other,Single,H > B > I > L > K > K > J > M > I,17
Other,Single,H > C > H > K,17
Other,Single,H > E > B > E > I > E > B > A > O > N,17
Other,Single,H > I > D > E > C > M > B,23
Other,Single,H > I > E > J > I,16
Other,Single,H > K > E,15
Other,Single,H > O > A > B > B,16
Other,Single,I > B > J > J > G > N > O > G > D > F,13
Other,Single,I > D > B > B > B > E > F > I,13
Other,Single,I > D > K > J > C,20
Other,Single,I > D > M,18
Other,Single,I > F > D > F > B > B > N > J > A,14
Other,Single,I > G > H > I > B > E > F > K > A,12
Other,Single,I > M > I > A > H > D > B,18
Other,Single,J > C > B > E,17
Other,Single,J > C > C > C > N > A,16
Other,Single,J > H > O > L > B > I > L > K,13
Other,Single,J > I > J > B,16
Other,Single,J > K > B > H,18
Other,Single,J > L > A > A > O > O > L,16
Other,Single,K > B > B > E > M > E > H > B > I > L,16
Other,Single,K > B > G > M,10
Other,Single,K > C > D > F > F > L > G > K > A > G,9
Other,Single,K > D > O,24
Other,Single,K > E > E > E > N,24
Other,Single,K > F > F > G > O > A > F > F,15
Other,Single,K > I > J > O > N > F > K > H > F > H,16
Other,Single,K > M > D > O > D > K > G > G,13
Other,Single,K > M > G > N > D > N > N > N,23
Other,Single,L > B > D > B > N,15
Other,Single,L > D > D > I > C > C > O > O,14
Other,Single,L > F > D > B > M > F > K > G > J > E,15
Other,Single,L > G > N > L > C > A > A > B > H,13
Other,Single,L > J > N > L,8
Other,Single,L > L > L > G > E,17
Other,Single,M > A > O > I > I > N > D,20
Other,Single,M > H > H > H > O > A > I > L > B > C,13
Other,Single,M > J > E > N > L > H,14
Other,Single,M > J > N > M > E > C > B,27
Other,Single,M > K > D > A > O,16
Other,Single,M > L > B > C > E > E > L > D > C,11
Other,Single,N > C > F,14
Other,Single,N > G > E > E > E > C > I > K,20
Other,Single,N > G > F,20
Other,Single,N > K > H > O,14
Other,Single,N > L > A,16
Other,Single,N > M > D > J > N > C > L,14
Other,Single,N > M > K > L > K,26
Other,Single,N > N > E > O > E > D,19
Other,Single,N > O > B > D > I > D > A > O > B > A,17
Other,Single,O > C > M > J > I > I > L > K > B > A,14
Other,Single,O > G > M > D > O,10
Other,Single,O > J > A > K > L > H > K,21
Other,Single,O > K > B > J > M,18
Other,Single,O > O > M > O,19
Other,Window(ed),A > A > E > L > E > C > B > M > C > O,2
Other,Window(ed),A > A > J > I > O > G,2
Other,Window(ed),A > L > B,3
Other,Window(ed),A > L > G > L > J > J > H,2
Other,Window(ed),A > M > E > N > L,3
Other,Window(ed),A > M > H > I > C > B > N,2
Other,Window(ed),B > B > C > C > N > J > F > I,1
Other,Window(ed),B > C > D > C,1
Other,Window(ed),B > C > O > F > K > A > F,3
Other,Window(ed),B > H > M > A > G > O > M > F > C,3
Other,Window(ed),B > K > L > K > H,2
Other,Window(ed),B > O > F > H > D > A > F,1
Other,Window(ed),C > J > A > E > K > A > J,2
Other,Window(ed),C > J > K > M > A > M > A,2
Other,Window(ed),C > K > D > D > G,2
Other,Window(ed),C > L > G > I > D > M > A > H,1
Other,Window(ed),D > A > A > D > K > D,2
Other,Window(ed),D > A > H > C > J > G > H > B > J > G,3
Other,Window(ed),D > C > I > N > L > O > A,2
Other,Window(ed),D > D > K > K > N > B > D,1
Other,Window(ed),D > E > B > F > G > C > E,4
Other,Window(ed),D > H > C > M > F,2
Other,Window(ed),D > I > G > M > O > A > F > B,3
Other,Window(ed),D > J > C,2
Other,Window(ed),D > L > D > G > L,3
Other,Window(ed),D > L > H > F > L > H > A > G > C,1
Other,Window(ed),E > A > L,3
Other,Window(ed),E > B > N,5
Other,Window(ed),E > C > C > E > C > J,2
Other,Window(ed),E > E > F > I > C > M > O,2
Other,Window(ed),E > E > N,5
Other,Window(ed),E > F > K > H > F > I > H > C,2
Other,Window(ed),E > J > L > E > G > I > L > F,2
Other,Window(ed),E > N > C > O > N > G > O > I > M,2
Other,Window(ed),F > C > J > O > D > J > L > L > N > N,3
Other,Window(ed),F > F > N > F > K > E > B,2
Other,Window(ed),F > K > B > N,3
Other,Window(ed),G > D > F > F > N > M,1
Other,Window(ed),G > I > O > L > N > H > E,3
Other,Window(ed),G > N > G > J > N > I,5
Other,Window(ed),H > B > I > L > K > K > J > M > I,3
Other,Window(ed),H > C > H > K,3
Other,Window(ed),H > E > B > E > I > E > B > A > O > N,3
Other,Window(ed),H > I > E > J > I,3
Other,Window(ed),H > K > E,3
Other,Window(ed),H > O > A > B > B,2
Other,Window(ed),I > B > J > J > G > N > O > G > D > F,1
Other,Window(ed),I > D > B > B > B > E > F > I,3
Other,Window(ed),I > D > K > J > C,7
Other,Window(ed),I > D > M,2
Other,Window(ed),I > F > D > F > B > B > N > J > A,4
Other,Window(ed),I > G > H > I > B > E > F > K > A,3
Other,Window(ed),I > M > I > A > H > D > B,2
Other,Window(ed),J > C > B > E,3
Other,Window(ed),J > C > C > C > N > A,2
Other,Window(ed),J > H > O > L > B > I > L > K,4
Other,Window(ed),J > I > J > B,1
Other,Window(ed),J > K > B > H,2
Other,Window(ed),J > L > A > A > O > O > L,3
Other,Window(ed),K > B > B > E > M > E > H > B > I > L,1
Other,Window(ed),K > B > G > M,2
Other,Window(ed),K > D > O,2
Other,Window(ed),K > F > F > G > O > A > F > F,3
Other,Window(ed),K > I > J > O > N > F > K > H > F > H,4
Other,Window(ed),K > M > G > N > D > N > N > N,3
Other,Window(ed),L > B > D > B > N,3
Other,Window(ed),L > D > D > I > C > C > O > O,2
Other,Window(ed),L > G > N > L > C > A > A > B > H,1
Other,Window(ed),L > J > N > L,2
Other,Window(ed),L > L > L > G > E,3
Other,Window(ed),M > A > O > I > I > N > D,3
Other,Window(ed),M > H > H > H > O > A > I > L > B > C,3
Other,Window(ed),M > J > E > N > L > H,2
Other,Window(ed),M > J > N > M > E > C > B,6
Other,Window(ed),M > K > D > A > O,3
Other,Window(ed),M > L > B > C > E > E > L > D > C,2
Other,Window(ed),N > C > F,3
Other,Window(ed),N > G > E > E > E > C > I > K,3
Other,Window(ed),N > G > F,2
Other,Window(ed),N > K > H > O,4
Other,Window(ed),N > L > A,4
Other,Window(ed),N > M > D > J > N > C > L,5
Other,Window(ed),N > M > K > L > K,2
Other,Window(ed),N > N > E > O > E > D,3
Other,Window(ed),N > O > B > D > I > D > A > O > B > A,5
Other,Window(ed),O > C > M > J > I > I > L > K > B > A,2
Other,Window(ed),O > G > M > D > O,3
Other,Window(ed),O > K > B > J > M,1
TAS,Head of Household,A > A > E > L > E > C > B > M > C > O,2
TAS,Head of Household,A > A > J > I > O > G,2
TAS,Head of Household,A > L > B,2
TAS,Head of Household,A > L > G > L > J > J > H,4
TAS,Head of Household,A > M > E > N > L,1
TAS,Head of Household,A > M > H > I > C > B > N,6
TAS,Head of Household,B > B > C > C > N > J > F > I,4
TAS,Head of Household,B > C > D > C,5
TAS,Head of Household,B > C > O > F > K > A > F,5
TAS,Head of Household,B > H > L > A > K > K > F,4
TAS,Head of Household,B > H > M > A > G > O > M > F > C,3
TAS,Head of Household,B > K > L > K > H,4
TAS,Head of Household,B > O > F > H > D > A > F,3
TAS,Head of Household,C > F > L > B > E > A > N > F > J,3
TAS,Head of Household,C > J > A > E > K > A > J,4
TAS,Head of Household,C > J > J > A > A > I > K,1
TAS,Head of Household,C > J > K > M > A > M > A,4
TAS,Head of Household,C > K > C > M > H,2
TAS,Head of Household,C > K > D > D > G,3
TAS,Head of Household,C > L > G > I > D > M > A > H,5
TAS,Head of Household,C > N > M,1
TAS,Head of Household,D > A > A > D > K > D,7
TAS,Head of Household,D > A > H > C > J > G > H > B > J > G,6
TAS,Head of Household,D > C > I > N > L > O > A,3
TAS,Head of Household,D > D > K > K > N > B > D,1
TAS,Head of Household,D > E > B > F > G > C > E,3
TAS,Head of Household,D > H > C > M > F,2
TAS,Head of Household,D > J > C,4
TAS,Head of Household,D > L > D > G > L,1
TAS,Head of Household,D > L > H > F > L > H > A > G > C,4
TAS,Head of Household,E > A > L,4
TAS,Head of Household,E > B > N,2
TAS,Head of Household,E > C > C > E > C > J,4
TAS,Head of Household,E > E > F > I > C > M > O,4
TAS,Head of Household,E > E > N,3
TAS,Head of Household,E > F > K > H > F > I > H > C,1
TAS,Head of Household,E > J > L > E > G > I > L > F,4
TAS,Head of Household,E > N > C > O > N > G > O > I > M,5
TAS,Head of Household,F > C > J > O > D > J > L > L > N > N,3
TAS,Head of Household,F > F > N > F > K > E > B,2
TAS,Head of Household,F > K > B > N,4
TAS,Head of Household,G > D > F > F > N > M,3
TAS,Head of Household,G > I > O > L > N > H > E,2
TAS,Head of Household,G > N > G > J > N > I,1
TAS,Head of Household,H > C > H > K,4
TAS,Head of Household,H > E > B > E > I > E > B > A > O > N,3
TAS,Head of Household,H > I > D > E > C > M > B,1
TAS,Head of Household,H > I > E > J > I,1
TAS,Head of Household,H > K > E,3
TAS,Head of Household,H > O > A > B > B,2
TAS,Head of Household,I > B > J > J > G > N > O > G > D > F,4
TAS,Head of Household,I > D > B > B > B > E > F > I,5
TAS,Head of Household,I > D > K > J > C,3
TAS,Head of Household,I > D > M,8
TAS,Head of Household,I > F > D > F > B > B > N > J > A,3
TAS,Head of Household,I > G > H > I > B > E > F > K > A,1
TAS,Head of Household,I > M > I > A > H > D > B,1
TAS,Head of Household,J > C > B > E,6
TAS,Head of Household,J > C > C > C > N > A,4
TAS,Head of Household,J > H > O > L > B > I > L > K,6
TAS,Head of Household,J > I > J > B,5
TAS,Head of Household,J > K > B > H,3
TAS,Head of Household,J > L > A > A > O > O > L,3
TAS,Head of Household,K > B > B > E > M > E > H > B > I > L,2
TAS,Head of Household,K > B > G > M,3
TAS,Head of Household,K > C > D > F > F > L > G > K > A > G,4
TAS,Head of Household,K > D > O,6
TAS,Head of Household,K > E > E > E > N,7
TAS,Head of Household,K > F > F > G > O > A > F > F,1
TAS,Head of Household,K > I > J > O > N > F > K > H > F > H,4
TAS,Head of Household,K > M > D > O > D > K > G > G,3
TAS,Head of Household,K > M > G > N > D > N > N > N,2
TAS,Head of Household,L > B > D > B > N,4
TAS,Head of Household,L > D > D > I > C > C > O > O,3
TAS,Head of Household,L > F > D > B > M > F > K > G > J > E,4
TAS,Head of Household,L > G > N > L > C > A > A > B > H,6
TAS,Head of Household,L > L > L > G > E,3
TAS,Head of Household,M > A > O > I > I > N > D,4
TAS,Head of Household,M > H > H > H > O > A > I > L > B > C,2
TAS,Head of Household,M > J > E > N > L > H,1
TAS,Head of Household,M > J > N > M > E > C > B,2
TAS,Head of Household,M > K > D > A > O,4
TAS,Head of Household,M > L > B > C > E > E > L > D > C,2
TAS,Head of Household,N > C > F,4
TAS,Head of Household,N > G > E > E > E > C > I > K,1
TAS,Head of Household,N > G > F,1
TAS,Head of Household,N > K > H > O,3
TAS,Head of Household,N > L > A,2
TAS,Head of Household,N > M > D > J > N > C > L,2
TAS,Head of Household,N > M > K > L > K,1
TAS,Head of Household,N > N > E > O > E > D,6
TAS,Head of Household,N > O > B > D > I > D > A > O > B > A,3
TAS,Head of Household,O > G > M > D > O,1
TAS,Head of Household,O > J > A > K > L > H > K,2
TAS,Head of Household,O > O > M > O,3
TAS,Joint,A > A > E > L > E > C > B > M > C > O,2
TAS,Joint,A > L > G > L > J > J > H,2
TAS,Joint,A > M > E > N > L,4
TAS,Joint,A > M > H > I > C > B > N,1
TAS,Joint,B > B > C > C > N > J > F > I,2
TAS,Joint,B > C > D > C,3
TAS,Joint,B > C > O > F > K > A > F,4
TAS,Joint,B > H > L > A > K > K > F,4
TAS,Joint,B > H > M > A > G > O > M > F > C,5
TAS,Joint,B > K > L > K > H,2
TAS,Joint,B > O > F > H > D > A > F,1
TAS,Joint,C > F > L > B > E > A > N > F > J,2
TAS,Joint,C > J > J > A > A > I > K,3
TAS,Joint,C > K > C > M > H,2
TAS,Joint,C > K > D > D > G,2
TAS,Joint,C > L > G > I > D > M > A > H,1
TAS,Joint,C > N > M,1
TAS,Joint,D > A > A > D > K > D,2
TAS,Joint,D > A > H > C > J > G > H > B > J > G,4
TAS,Joint,D > D > K > K > N > B > D,3
TAS,Joint,D > H > C > M > F,4
TAS,Joint,D > I > G > M > O > A > F > B,1
TAS,Joint,D > J > C,1
TAS,Joint,D > L > D > G > L,3
TAS,Joint,D > L > H > F > L > H > A > G > C,1
TAS,Joint,E > A > L,1
TAS,Joint,E > B > N,2
TAS,Joint,E > C > C > E > C > J,3
TAS,Joint,E > E > F > I > C > M > O,2
TAS,Joint,E > J > L > E > G > I > L > F,3
TAS,Joint,F > C > J > O > D > J > L > L > N > N,2
TAS,Joint,F > F > N > F > K > E > B,2
TAS,Joint,F > K > B > N,1
TAS,Joint,G > D > F > F > N > M,2
TAS,Joint,G > N > G > J > N > I,1
TAS,Joint,H > B > I > L > K > K > J > M > I,2
TAS,Joint,H > C > H > K,2
TAS,Joint,H > E > B > E > I > E > B > A > O > N,2
TAS,Joint,H > I > D > E > C > M > B,1
TAS,Joint,H > I > E > J > I,2
TAS,Joint,H > K > E,3
TAS,Joint,H > O > A > B > B,2
TAS,Joint,I > B > J > J > G > N > O > G > D > F,2
TAS,Joint,I > D > B > B > B > E > F > I,1
TAS,Joint,I > D > K > J > C,1
TAS,Joint,I > D > M,2
TAS,Joint,I > F > D > F > B > B > N > J > A,4
TAS,Joint,I > M > I > A > H > D > B,2
TAS,Joint,J > C > B > E,3
TAS,Joint,J > C > C > C > N > A,3
TAS,Joint,J > H > O > L > B > I > L > K,2
TAS,Joint,J > I > J > B,1
TAS,Joint,J > K > B > H,2
TAS,Joint,J > L > A > A > O > O > L,3
TAS,Joint,K > B > B > E > M > E > H > B > I > L,3
TAS,Joint,K > B > G > M,2
TAS,Joint,K > C > D > F > F > L > G > K > A > G,1
TAS,Joint,K > D > O,7
TAS,Joint,K > E > E > E > N,2
TAS,Joint,K > F > F > G > O > A > F > F,3
TAS,Joint,K > M > G > N > D > N > N > N,2
TAS,Joint,L > D > D > I > C > C > O > O,2
TAS,Joint,L > F > D > B > M > F > K > G > J > E,2
TAS,Joint,L > G > N > L > C > A > A > B > H,3
TAS,Joint,L > J > N > L,2
TAS,Joint,L > L > L > G > E,2
TAS,Joint,M > H > H > H > O > A > I > L > B > C,2
TAS,Joint,M > J > E > N > L > H,1
TAS,Joint,M > J > N > M > E > C > B,1
TAS,Joint,M > K > D > A > O,3
TAS,Joint,M > L > B > C > E > E > L > D > C,1
TAS,Joint,N > C > F,2
TAS,Joint,N > G > E > E > E > C > I > K,3
TAS,Joint,N > G > F,5
TAS,Joint,N > L > A,5
TAS,Joint,N > M > D > J > N > C > L,1
TAS,Joint,N > M > K > L > K,4
TAS,Joint,N > N > E > O > E > D,4
TAS,Joint,N > O > B > D > I > D > A > O > B > A,2
TAS,Joint,O > C > M > J > I > I > L > K > B > A,4
TAS,Joint,O > O > M > O,3
TAS,Married/Separate,A > A > J > I > O > G,1
TAS,Married/Separate,A > L > B,1
TAS,Married/Separate,A > L > G > L > J > J > H,1
TAS,Married/Separate,A > M > E > N > L,2
TAS,Married/Separate,B > C > D > C,1
TAS,Married/Separate,B > O > F > H > D > A > F,2
TAS,Married/Separate,C > K > C > M > H,1
TAS,Married/Separate,C > K > D > D > G,1
TAS,Married/Separate,D > A > A > D > K > D,2
TAS,Married/Separate,D > D > K > K > N > B > D,1
TAS,Married/Separate,D > I > G > M > O > A > F > B,1
TAS,Married/Separate,D > L > H > F > L > H > A > G > C,1
TAS,Married/Separate,E > A > L,1
TAS,Married/Separate,E > J > L > E > G > I > L > F,1
TAS,Married/Separate,F > F > N > F > K > E > B,1
TAS,Married/Separate,F > K > B > N,1
TAS,Married/Separate,G > D > F > F > N > M,2
TAS,Married/Separate,G > N > G > J > N > I,2
TAS,Married/Separate,H > E > B > E > I > E > B > A > O > N,2
TAS,Married/Separate,H > I > D > E > C > M > B,1
TAS,Married/Separate,H > I > E > J > I,2
TAS,Married/Separate,H > K > E,1
TAS,Married/Separate,I > B > J > J > G > N > O > G > D > F,1
TAS,Married/Separate,I > D > B > B > B > E > F > I,1
TAS,Married/Separate,I > D > M,1
TAS,Married/Separate,J > H > O > L > B > I > L > K,1
TAS,Married/Separate,J > I > J > B,1
TAS,Married/Separate,J > K > B > H,1
TAS,Married/Separate,K > D > O,1
TAS,Married/Separate,K > E > E > E > N,1
TAS,Married/Separate,K > F > F > G > O > A > F > F,1
TAS,Married/Separate,K > I > J > O > N > F > K > H > F > H,1
TAS,Married/Separate,K > M > D > O > D > K > G > G,2
TAS,Married/Separate,K > M > G > N > D > N > N > N,1
TAS,Married/Separate,L > G > N > L > C > A > A > B > H,2
TAS,Married/Separate,M > H > H > H > O > A > I > L > B > C,1
TAS,Married/Separate,M > L > B > C > E > E > L > D > C,1
TAS,Married/Separate,N > C > F,2
TAS,Married/Separate,N > N > E > O > E > D,1
TAS,Married/Separate,O > C > M > J > I > I > L > K > B > A,1
TAS,Married/Separate,O > K > B > J > M,1
TAS,Married/Separate,O > O > M > O,1
TAS,Single,A > A > E > L > E > C > B > M > C > O,1
TAS,Single,A > A > J > I > O > G,3
TAS,Single,A > L > B,4
TAS,Single,A > L > G > L > J > J > H,6
TAS,Single,A > M > E > N > L,2
TAS,Single,A > M > H > I > C > B > N,6
TAS,Single,B > B > C > C > N > J > F > I,3
TAS,Single,B > C > D > C,6
TAS,Single,B > C > O > F > K > A > F,4
TAS,Single,B > H > L > A > K > K > F,4
TAS,Single,B > H > M > A > G > O > M > F > C,3
TAS,Single,B > K > L > K > H,3
TAS,Single,B > O > F > H > D > A > F,4
TAS,Single,C > F > L > B > E > A > N > F > J,2
TAS,Single,C > J > A > E > K > A > J,4
TAS,Single,C > J > J > A > A > I > K,3
TAS,Single,C > J > K > M > A > M > A,4
TAS,Single,C > K > C > M > H,6
TAS,Single,C > K > D > D > G,3
TAS,Single,C > L > G > I > D > M > A > H,5
TAS,Single,C > N > M,5
TAS,Single,D > A > A > D > K > D,5
TAS,Single,D > A > H > C > J > G > H > B > J > G,5
TAS,Single,D > C > I > N > L > O > A,2
TAS,Single,D > D > K > K > N > B > D,4
TAS,Single,D > E > B > F > G > C > E,5
TAS,Single,D > H > C > M > F,1
TAS,Single,D > I > G > M > O > A > F > B,3
TAS,Single,D > J > C,5
TAS,Single,D > L > D > G > L,6
TAS,Single,D > L > H > F > L > H > A > G > C,3
TAS,Single,E > A > L,6
TAS,Single,E > B > N,6
TAS,Single,E > C > C > E > C > J,4
TAS,Single,E > E > F > I > C > M > O,3
TAS,Single,E > F > K > H > F > I > H > C,1
TAS,Single,E > J > L > E > G > I > L > F,3
TAS,Single,E > N > C > O > N > G > O > I > M,3
TAS,Single,F > C > J > O > D > J > L > L > N > N,4
TAS,Single,F > F > N > F > K > E > B,4
TAS,Single,F > K > B > N,2
TAS,Single,G > D > F > F > N > M,8
TAS,Single,G > I > O > L > N > H > E,4
TAS,Single,H > B > I > L > K > K > J > M > I,5
TAS,Single,H > C > H > K,4
TAS,Single,H > E > B > E > I > E > B > A > O > N,6
TAS,Single,H > I > D > E > C > M > B,6
TAS,Single,H > I > E > J > I,2
TAS,Single,H > K > E,6
TAS,Single,H > O > A > B > B,5
TAS,Single,I > B > J > J > G > N > O > G > D > F,2
TAS,Single,I > D > B > B > B > E > F > I,5
TAS,Single,I > D > K > J > C,6
TAS,Single,I > D > M,4
TAS,Single,I > F > D > F > B > B > N > J > A,3
TAS,Single,I > G > H > I > B > E > F > K > A,5
TAS,Single,I > M > I > A > H > D > B,2
TAS,Single,J > C > B > E,5
TAS,Single,J > C > C > C > N > A,2
TAS,Single,J > H > O > L > B > I > L > K,4
TAS,Single,J > I > J > B,8
TAS,Single,J > K > B > H,4
TAS,Single,J > L > A > A > O > O > L,3
TAS,Single,K > B > B > E > M > E > H > B > I > L,9
TAS,Single,K > B > G > M,3
TAS,Single,K > C > D > F > F > L > G > K > A > G,7
TAS,Single,K > D > O,2
TAS,Single,K > E > E > E > N,2
TAS,Single,K > F > F > G > O > A > F > F,3
TAS,Single,K > I > J > O > N > F > K > H > F > H,3
TAS,Single,K > M > D > O > D > K > G > G,5
TAS,Single,K > M > G > N > D > N > N > N,5
TAS,Single,L > D > D > I > C > C > O > O,2
TAS,Single,L > G > N > L > C > A > A > B > H,4
TAS,Single,L > J > N > L,2
TAS,Single,L > L > L > G > E,4
TAS,Single,M > A > O > I > I > N > D,3
TAS,Single,M > H > H > H > O > A > I > L > B > C,7
TAS,Single,M > J > E > N > L > H,6
TAS,Single,M > J > N > M > E > C > B,2
TAS,Single,M > K > D > A > O,2
TAS,Single,M > L > B > C > E > E > L > D > C,2
TAS,Single,N > C > F,2
TAS,Single,N > G > E > E > E > C > I > K,3
TAS,Single,N > G > F,9
TAS,Single,N > K > H > O,3
TAS,Single,N > L > A,3
TAS,Single,N > M > D > J > N > C > L,5
TAS,Single,N > M > K > L > K,4
TAS,Single,N > N > E > O > E > D,4
TAS,Single,N > O > B > D > I > D > A > O > B > A,2
TAS,Single,O > C > M > J > I > I > L > K > B > A,3
TAS,Single,O > G > M > D > O,2
TAS,Single,O > J > A > K > L > H > K,5
TAS,Single,O > K > B > J > M,4
TAS,Single,O > O > M > O,4
TAS,Window(ed),A > A > E > L > E > C > B > M > C > O,3
TAS,Window(ed),A > L > B,1
TAS,Window(ed),A > L > G > L > J > J > H,3
TAS,Window(ed),B > B > C > C > N > J > F > I,1
TAS,Window(ed),B > H > M > A > G > O > M > F > C,2
TAS,Window(ed),C > J > K > M > A > M > A,1
TAS,Window(ed),C > K > C > M > H,1
TAS,Window(ed),C > L > G > I > D > M > A > H,1
TAS,Window(ed),C > N > M,1
TAS,Window(ed),D > A > A > D > K > D,1
TAS,Window(ed),D > L > D > G > L,1
TAS,Window(ed),D > L > H > F > L > H > A > G > C,1
TAS,Window(ed),E > C > C > E > C > J,1
TAS,Window(ed),E > E > F > I > C > M > O,1
TAS,Window(ed),E > E > N,2
TAS,Window(ed),F > F > N > F > K > E > B,1
TAS,Window(ed),G > I > O > L > N > H > E,2
TAS,Window(ed),G > N > G > J > N > I,1
TAS,Window(ed),H > I > D > E > C > M > B,1
TAS,Window(ed),H > K > E,1
TAS,Window(ed),I > D > K > J > C,1
TAS,Window(ed),I > D > M,1
TAS,Window(ed),I > F > D > F > B > B > N > J > A,1
TAS,Window(ed),I > M > I > A > H > D > B,1
TAS,Window(ed),J > H > O > L > B > I > L > K,1
TAS,Window(ed),J > I > J > B,1
TAS,Window(ed),J > L > A > A > O > O > L,1
TAS,Window(ed),K > F > F > G > O > A > F > F,1
TAS,Window(ed),L > B > D > B > N,3
TAS,Window(ed),L > D > D > I > C > C > O > O,1
TAS,Window(ed),L > J > N > L,2
TAS,Window(ed),M > K > D > A > O,2
TAS,Window(ed),N > C > F,1
TAS,Window(ed),N > G > E > E > E > C > I > K,1
TAS,Window(ed),N > G > F,2
TAS,Window(ed),N > K > H > O,1
TAS,Window(ed),O > G > M > D > O,1
TAS,Window(ed),O > J > A > K > L > H > K,1
TAS,Window(ed),O > O > M > O,2
